,hc_specificity,dev_peak,aging_decline,conservation,gwas,sgn_specificity,score,TPS_FINAL
RASD1,0.0,0.915446584452972,0.8448901419453239,0.5,0.0,0.6039767,0.3756047230894429,0.430618178182393
SKOR2,0.5902394174254029,0.7015735280991906,0.3057480633490281,0.5,0.0,0.3351615,0.2222992504440267,0.4302810403498132
RRP12,0.0,0.9457138132636392,0.8405612518905967,0.5,0.0,0.57181597,0.3746596888766902,0.4295901444363174
CYP4B1,0.10540563957214759,0.9757033565820924,0.9050014624746366,0.5,0.0,0.3351615,0.3533243687853261,0.42954488255925827
GJB2,0.0003527769881726409,0.6514430420395741,0.3057480633490281,0.5,1.0,0.51583385,0.3919204777898811,0.4294234210067208
GPR75,0.0,0.9790942370777896,0.9148349684748311,0.5,0.0,0.4815236,0.377281431910396,0.4293488126867826
GPD1,0.0013465662233314935,0.8862309011262618,0.9591651391162692,0.5,0.0,0.53533345,0.3780842828971374,0.4285916109596922
NPHS1,0.00012689649024920537,0.8285870367952627,0.8469168576361071,0.5,0.0,0.6783395,0.374036999350743,0.4284609049515434
HOXC6,0.0,0.977083174401471,0.9276733957689878,0.5,0.0,0.4688462,0.3769932225409848,0.4283368842456424
PDE11A,0.21161825558920067,0.8904723489836016,0.6219302571556089,0.5,0.0,0.46576938,0.3176452901313634,0.42802336104682187
CHTF8,0.0,0.9581112209536512,0.8757332946434961,0.5,0.0,0.5215343,0.3742625429115864,0.4272890983872547
ODF3B,0.23642132655917092,0.8504925645798534,0.8121831386530111,0.5,0.0,0.321896,0.3186192829347634,0.42723158168167363
TMIE,0.11354378314910413,0.5429845624345823,0.4517519774331958,0.5,1.0,0.3315046,0.3698707159435124,0.42672376404662704
HOMER2,0.0,0.7320612612816266,0.3057474394563447,0.5,1.0,0.41954738,0.3894492637398116,0.42618384417477706
SLCO4C1,0.15551966352624963,0.9388882472280596,0.5659468909390537,0.5,0.0,0.5301441,0.3985049991813847,0.4253544021443449
SERPINA10,0.00037902396339896394,0.9594690096336044,0.8841960200465706,0.5,0.0,0.49936706,0.3724065032510127,0.42451032412272616
PRSS41,0.0,0.9620142564434446,0.9031003546349364,0.5,0.0,0.4822214,0.3730610493671819,0.4243121844839294
GUCY2C,0.0,0.903478563471876,0.8448316674080784,0.5,0.0,0.5825217,0.3705370211960054,0.423924802805587
GPR26,0.0,0.9854530449125288,0.7353259212142849,0.5,0.0,0.58192194,0.3663066398624449,0.42377388516464853
DHH,0.0,0.753150649577198,0.8570906353088942,0.5,0.0,0.7222183,0.370835815819778,0.42363738521177374
CAPN12,0.0,0.9889650891799456,0.8652280003660789,0.5,0.0,0.47834104,0.3708268750246349,0.423245425890901
PTGIS,0.0,0.8504708313398377,0.9680804434989724,0.5,0.0,0.53870505,0.3745346242164313,0.4230472427928134
C2CD4B,0.00013232623340538876,0.7952259292577931,0.9109851462920524,0.5,0.0,0.63594913,0.3722743432145429,0.42292248166538815
